====================
theatre  |  Органний зал
pub  |  Тироль
doctors  |  Травмпункт №3
cafe  |  Home Cafe
pub  |  Пивний Сомельє
bank  |  Ukrsibbank
atm  |  ПриватБанк
pub  |  Killer
nightclub  |  Диско
fuel  |  UPG
drinking_water  |  Бювет
post_office  |  Укрпошта 04209
library  |  Деміївська
water_point  |  Бювет
cafe  |  MOKA
pub  |  Локація
bank  |  Ощадбанк
pub  |  Кутовий паб
pub  |  Драйфас
bank  |  Точка видачі monobank | Universal Bank
post_office  |  Укрпошта
bar  |  Сільмаг
bar  |  Кооп
cafe  |  Колодязь
restaurant  |  Шашлична
fuel  |  Лукойл
fuel  |  БРСМ-Нафта
restaurant  |  Рибалка
restaurant  |  Барбекю
place_of_worship  |  Церква Воскресіння
pharmacy  |  Аптека Низьких Цін
kindergarten  |  Ладушки
doctors  |  Дитяча поліклініка
atm  |  Райффайзен Банк
bank  |  Банк Дніпро Кредит
school  |  Приватна школа «Співтворчість»
college  |  Київська академія перукарського мистецтва
driving_school  |  Автошкола «Карат»
restaurant  |  Леон
bank  |  Печерський Філіал, Експрес Каса №12
atm  |  ПриватБанк
atm  |  ПриватБанк
atm  |  ПриватБанк
atm  |  ПриватБанк
fast_food  |  Восточная кухня
pharmacy  |  Соціальна аптека
pharmacy  |  Аптека матері та дитини №1
cafe  |  Алібі
bank  |  Monobank
pharmacy  |  КП «Фармація»
pharmacy  |  TAS
pub  |  Ципа
place_of_worship  |  Церква Петра і Павла
fuel  |  Shell
pharmacy  |  Аптечний пункт №1
pharmacy  |  Аптечний пункт №102
pharmacy  |  Аптечний пункт №2
pharmacy  |  Аптечний пункт №24
pharmacy  |  Аптечний пункт №6
pharmacy  |  Аптека доброго дня
hospital  |  Поліклініка
atm  |  ПУМБ
restaurant  |  Релакс
fast_food  |  Суши Мастер
cafe  |  Львівська майстерня шоколаду
veterinary  |  Альф
pharmacy  |  Аптека доброго дня
library  |  Міська бібліотека
bank  |  Ощадбанк
clinic  |  Дитяча поліклініка
restaurant  |  Кримський Дворик
restaurant  |  Ника (кафе)
bar  |  Спортбар «Угловой»
fast_food  |  Кури-гриль
pub  |  Бочка пивна
restaurant  |  Solo pizza
restaurant  |  Solo pizza
pharmacy  |  Аптека Доброго Дня
veterinary  |  Ветеринарна допомога
cafe  |  Жизнь удалась
pharmacy  |  Аптека №1
fire_station  |  35-ДПРЧ (м. Буча)
post_office  |  КИЇВ-170
bank  |  ПриватБанк
cafe  |  Гетьман
pharmacy  |  Аптека №11
pub  |  Капоне
pub  |  XLIB
atm  |  ПриватБанк
fuel  |  БРСМ-Нафта
restaurant  |  Alexx
nightclub  |  Ажур
bank  |  Ощадбанк
bank  |  ПриватБанк
pharmacy  |  Аптека 03
doctors  |  Костоправ
pharmacy  |  Бажаємо здоров’я
music_school  |  Дитяча музична школа №29
bank  |  ProCredit Bank
dentist  |  Альфамед
cafe  |  Woodstock
restaurant  |  Отаманша
pharmacy  |  Аптечний кіоск №2
school  |  Музична школа №26
pharmacy  |  Аптека Низких цен
pharmacy  |  Аптека 03
car_wash  |  Allure
restaurant  |  Mi Amor
fast_food  |  KFC
cafe  |  Їдальня
water_point  |  Бювет
restaurant  |  Суші манія
bar  |  Под асфальтом пляж
bank  |  Піреус Банк
cafe  |  Невада
cafe  |  Нева
bank  |  УкрСиббанк
bank  |  УкрСиббанк
library  |  Бучанська бібліотека для дорослих
bank  |  Ощадбанк
cafe  |  Фролівське
post_office  |  УкрПошта 03035
cafe  |  Alfredo
car_rental  |  Метро демеевское
bank  |  Фамільний
pharmacy  |  Аптека Доброго Дня
pharmacy  |  Пані аптека
clinic  |  MedCity
bank  |  АгроКомБанк
bank  |  ПриватБанк
water_point  |  Бювет
fuel  |  ANP
bank  |  Альфа-Банк
bank  |  Південний
bank  |  Ukrsibbank
bank  |  Crédit Agricole
library  |  Бібліотека ім. Т.Г. Шевченка
restaurant  |  Руккола
cafe  |  Львівські пляцки
pharmacy  |  Екостатус
