====================
getFeatureName(i) getFeatureType(i)
دبیرستان پسرانه شهید باهنر | building
بوستان کوثر | park
بوستان کوثر | park
<noname> | building
مجتمع فرهنگی امام رضا (ع) | building
Sepahsalar Mosque | building
Derakhshan Park | park
Aftab Complex | building
بلوک 3 | building
بلوک 2 | building
بلوک 1 | building
دفتر خوابگاه | building
دفتر پستی مدنی | building
بوستان صنوبر | park
Saint Gregory | building
Abalfazl Mosque | building
مسجد جوادالائمه | building
Ashrafi Esfahani Park | park
ساختمان اداری رادیو تجارت | building
<noname> | building
Custom Warehouse | building
Custom Warehouse | building
ساختمان فنی مهندسی | building
Custom Warehouse | building
<noname> | building
<noname> | building
Gymnasium | building
تعاونی مصرف کارکنان | building
Ceremonial Site | building
ساختمان اداری ۲ (تالار اصفهان) | building
Hall A1 | building
Hall 16 | building
Hall 1 | building
Hall 20 | building
Hall 21 | building
Hall 22 | building
Hall 23 | building
Hall 25A & 26A | building
Hall 25B & 26B | building
Hall 25C & 26C | building
Hall 25D & 26D | building
Hall 25E & 26E | building
Hall 25F & 26F | building
Hall 27 | building
Hall 2 | building
Milad Hall | building
Hall 35 | building
Hall 37A | building
Hall 37 | building
Hall 38A | building
Hall 38 | building
Hall 3 | building
Hall 43 | building
Hall 44 (Persian Gulf) | building
Hall 4 | building
Nation's Hall (5) | building
Hall 59 | building
Hall 61 | building
Hall 62 | building
Hall 6 | building
Hall 7 | building
Fanavaresh | building
Hall 10 & 11 | building
Hall 12 & 13 | building
Hall 14 & 15 | building
Hall 8 & 9 | building
Hazrat Ibrahim Mosque | building
مسجد انصارالحسین | building
مسجد صاحب الزمان | building
مسجد کربلا | building
ساختمان آفتاب ۳ (مادیران) | building
شهرداری منطقه سه ناحیه یک | building
برج آفتاب | building
دفتر مرکزی فروشگاه های سورنا | building
مدیریت اکتشاف شرکت ملی نفت ایران | building
دبستان پسرانه امام سجاد علیه‌السلام | building
Sepehr Tower | building
مجتمع قضایی بهشتی | building
مسجد عمار یاسر | building
بلوک 10 | building
9 | building
۱۲ | building
۱۱ | building
۱۳ | building
۱۴ | building
۱۵ | building
۱۶ | building
۱۸ | building
۱۷ | building
B۲ | building
A۳ | building
B۱ | building
C۲ | building
A۲ | building
A۱ | building
Bank Melli Iran | building
قوه قضاییه - ساختمان شماره دو | building
Shamsol Emare | building
Abyaz Palace | building
The Marble Throne | building
Golestan Palace | building
عکاسخانه و عمارت بادگیر | building
عمارت الماس | building
Chadorkhane | building
بیمارستان بقیه الله الاعظم | building
بازار مترو | building
مسجد جامع بقیه الله | building
Javanmardane Iran Park | park
Reza Mosque | building
بوستان امیدوار | park
بوستان نارنجستان | park
Niyāvarān Park | park
مسجد جابری | building
مسجد ارباب | building
بوستان شکوفه | park
بوستان گلزار | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
بوستان اقاقیا | park
<noname> | stream
<noname> | greenspace
<noname> | greenspace
<noname> | greenspace
<noname> | greenspace
بوستان ارمغان | park
Esteghlal Movie Theater | building
<noname> | building
Besat Park | park
Maryam Park | park
Meysam Park | park
Bozorgmehr Park | park
بوستان پیوند | park
<noname> | park
Mikhak Park | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
ساختمان آفتاب | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
بوستان شهید گمنام | park
بوستان کودک | park
Kourosh Mall | building
بوستان تندرستی آینده | park
Ale Yasin Clinic | building
Dr. Razavi Pharmacy | building
مجتمع مسکونی غدیر دانشگاه تهران | building
Alzahra Sport Center | building
<noname> | building
Moallem Park | park
دانشکده دندانپزشکی شهید بهشتی | building
<noname> | building
<noname> | building
<noname> | building
بوستان مرکبات | park
پارک نارنجستان | park
بوستان راه نشاط | park
بوستان نارنج | park
<noname> | park
بوستان مهر | park
MAHAB GHODSS Consulting Engineering Company | building
<noname> | building
<noname> | building
<noname> | building
بوستان پرستو | park
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
<noname> | building
Nowruz Park | park
Vahdat Concert Hall | building
<noname> | stream
<noname> | stream
Iran Ministry of Roads & Urban Development | building
Tehran Provincial Government | building
The Headquarter Railways of The Islamic Republic of Iran | building
<noname> | building
<noname> | building
<noname> | building
Laleh Hotel | building
<noname> | building
<noname> | building
Marmar Palace | building
<noname> | lake
شورای نگهبان | building
Assembly of Experts | building
Fuel Station N.I.O.P.D.C | building
<noname> | stream
Ekhlas Park | park
Saraye Mahalleye Almahdi | building
Eqtesadi Park | park
Representation of Modiran Khodro | building
ایستگاه ۹۴ آتشنشانی | building
West Of Tehran's Flower Market | building
Tree Market | building
Sahar Park | park
Zare'i Telecommunication Center | building
Mohassel Park | park
<noname> | building
